title,artist,year,top genre,pop
Havana (feat. Young Thug),Camila Cabello,2018,dance pop,85
I Like It,Cardi B,2018,pop,85
New Rules,Dua Lipa,2018,dance pop,84
There's Nothing Holdin' Me Back,Shawn Mendes,2018,canadian pop,84
no tears left to cry,Ariana Grande,2018,dance pop,84
IDGAF,Dua Lipa,2018,dance pop,84
In My Blood,Shawn Mendes,2018,canadian pop,83
Wolves,Selena Gomez,2018,dance pop,83
Dusk Till Dawn - Radio Edit,ZAYN,2018,dance pop,83
Attention,Charlie Puth,2018,dance pop,83
Electricity (with Dua Lipa),Silk City,2018,edm,82
Love On The Brain,Rihanna,2018,barbadian pop,82
"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,2018,dance pop,82
Silence,Marshmello,2018,brostep,82
Sorry Not Sorry,Demi Lovato,2018,dance pop,81
Shallow - Radio Edit,Lady Gaga,2018,dance pop,80
These Days,Rudimental,2018,dance pop,80
What Lovers Do (feat. SZA),Maroon 5,2018,pop,79
Finesse - Remix; feat. Cardi B,Bruno Mars,2018,pop,78
Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,2018,pop,78
Bad At Love,Halsey,2018,dance pop,78
Him & I (with Halsey),G-Eazy,2018,hip hop,78
Friends (with BloodPop®),Justin Bieber,2018,canadian pop,77
Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,2018,dance pop,76
My My My!,Troye Sivan,2018,dance pop,76
Capital Letters,Hailee Steinfeld,2018,dance pop,76
Sick Boy,The Chainsmokers,2018,electropop,76
Tequila,Dan + Shay,2018,contemporary country,76
Look What You Made Me Do,Taylor Swift,2018,pop,75
Youth (feat. Khalid),Shawn Mendes,2018,canadian pop,75
Bad Liar,Selena Gomez,2018,dance pop,75
Anywhere,Rita Ora,2018,dance pop,74
Say Something,Justin Timberlake,2018,dance pop,74
Chun-Li,Nicki Minaj,2018,dance pop,73
Sign of the Times,Harry Styles,2018,dance pop,72
Familiar,Liam Payne,2018,dance pop,72
Let Me,ZAYN,2018,dance pop,72
Supernova,Ansel Elgort,2018,dance pop,72
Nervous,Shawn Mendes,2018,canadian pop,71
First Time,Kygo,2018,edm,71
End Game,Taylor Swift,2018,pop,70
Mi Gente (feat. Beyoncé),J Balvin,2018,latin,68
Lemon,N.E.R.D,2018,hip hop,68
For You (With Rita Ora),Liam Payne,2018,dance pop,67
Want To,Dua Lipa,2018,dance pop,67
What I Need (feat. Kehlani),Hayley Kiyoko,2018,dance pop,67
Wait,Maroon 5,2018,pop,67
What About Us,P!nk,2018,dance pop,66
Kissing Strangers,DNCE,2018,dance pop,66
2U (feat. Justin Bieber),David Guetta,2018,dance pop,65
Walk On Water (feat. Beyoncé),Eminem,2018,detroit hip hop,65
This Town,Niall Horan,2018,dance pop,64
"Girls (feat. Cardi B, Bebe Rexha & Charli XCX)",Rita Ora,2018,dance pop,64
MOVE TO MIAMI,Enrique Iglesias,2018,dance pop,64
Miss You (with Major Lazer & Tory Lanez),Cashmere Cat,2018,downtempo,64
Filthy,Justin Timberlake,2018,dance pop,62
Never Be the Same - Radio Edit,Camila Cabello,2018,dance pop,57
Ferrari,Bebe Rexha,2018,dance pop,57
Supplies,Justin Timberlake,2018,dance pop,57
Boom Boom,RedOne,2018,moroccan pop,53
...Ready For It? - BloodPop® Remix,Taylor Swift,2018,pop,52
Drip (feat. Migos),Cardi B,2018,pop,45
Tell Me You Love Me - NOTD Remix,Demi Lovato,2018,dance pop,44
Memories,Maroon 5,2019,pop,99
Lose You To Love Me,Selena Gomez,2019,dance pop,97
Someone You Loved,Lewis Capaldi,2019,pop,96
Señorita,Shawn Mendes,2019,canadian pop,95
How Do You Sleep?,Sam Smith,2019,pop,93
South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,2019,pop,92
Trampoline (with ZAYN),SHAED,2019,electropop,92
Happier,Marshmello,2019,brostep,90
Truth Hurts,Lizzo,2019,escape room,90
Good as Hell (feat. Ariana Grande) - Remix,Lizzo,2019,escape room,90
Higher Love,Kygo,2019,edm,88
Only Human,Jonas Brothers,2019,boy band,87
Beautiful People (feat. Khalid),Ed Sheeran,2019,pop,86
Sucker,Jonas Brothers,2019,boy band,86
Don't Call Me Up,Mabel,2019,dance pop,86
I Don't Care (with Justin Bieber),Ed Sheeran,2019,pop,85
Talk (feat. Disclosure),Khalid,2019,alternative r&b,84
Giant (with Rag'n'Bone Man),Calvin Harris,2019,dance pop,84
Takeaway,The Chainsmokers,2019,electropop,83
All Around The World (La La La),R3HAB,2019,big room,82
Girls Like You (feat. Cardi B),Maroon 5,2019,pop,81
Call You Mine,The Chainsmokers,2019,electropop,81
No Guidance (feat. Drake),Chris Brown,2019,dance pop,81
Antisocial (with Travis Scott),Ed Sheeran,2019,pop,78
"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,2019,electronic trap,77
Con Calma - Remix,Daddy Yankee,2019,latin,76
Find U Again (feat. Camila Cabello),Mark Ronson,2019,dance pop,75
Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,2019,pop,75
"No Brainer (feat. Justin Bieber, Chance the Rapper & Quavo)",DJ Khaled,2019,dance pop,70
Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,2019,dance pop,69
Kills You Slowly,The Chainsmokers,2019,electropop,67
