,title,artist,total_words,total_bad_words,perc_bad_words
0,"Hey, Soul Sister",Train,294,0,0.0
1,Love The Way You Lie,Eminem,732,6,0.819672131147541
2,TiK ToK,Kesha,465,1,0.21505376344086022
3,Bad Romance,Lady Gaga,521,6,1.1516314779270633
4,Just the Way You Are,Bruno Mars,324,1,0.30864197530864196
5,Baby,Justin Bieber,442,0,0.0
6,Dynamite,Taio Cruz,371,1,0.2695417789757413
7,Secrets,OneRepublic,347,0,0.0
8,Empire State of Mind (Part II) Broken Down,Alicia Keys,297,0,0.0
9,Only Girl (In The World),Rihanna,400,0,0.0
10,Club Can't Handle Me (feat. David Guetta),Flo Rida,594,0,0.0
11,Marry You,Bruno Mars,342,0,0.0
12,Cooler Than Me - Single Mix,Mike Posner,404,2,0.49504950495049505
13,Telephone,Lady Gaga,669,0,0.0
14,Like A G6,Far East Movement,487,0,0.0
15,OMG (feat. will.i.am),Usher,860,3,0.3488372093023256
16,Eenie Meenie,Sean Kingston,442,0,0.0
17,The Time (Dirty Bit),The Black Eyed Peas,488,0,0.0
18,Alejandro,Lady Gaga,357,0,0.0
19,Your Love Is My Drug,Kesha,380,0,0.0
20,Meet Me Halfway,The Black Eyed Peas,434,1,0.2304147465437788
21,Whataya Want from Me,Adam Lambert,338,0,0.0
22,Take It Off,Kesha,435,0,0.0
23,Misery,Maroon 5,400,0,0.0
24,All The Right Moves,OneRepublic,438,1,0.228310502283105
25,Animal,Neon Trees,300,0,0.0
26,Naturally,Selena Gomez & The Scene,273,0,0.0
27,I Like It,Enrique Iglesias,505,1,0.19801980198019803
28,Teenage Dream,Katy Perry,400,0,0.0
29,California Gurls,Katy Perry,417,4,0.9592326139088728
30,3,Britney Spears,325,0,0.0
31,My First Kiss - feat. Ke$ha,3OH!3,282,0,0.0
32,Blah Blah Blah (feat. 3OH!3),Kesha,282,0,0.0
33,Imma Be,The Black Eyed Peas,526,12,2.2813688212927756
34,Try Sleeping with a Broken Heart,Alicia Keys,350,0,0.0
35,Sexy Bitch (feat. Akon),David Guetta,226,0,0.0
36,If I Had You,Adam Lambert,356,0,0.0
37,Rock That Body,The Black Eyed Peas,502,11,2.1912350597609564
38,Dog Days Are Over,Florence + The Machine,287,0,0.0
39,Doesn't Mean Anything,Alicia Keys,253,0,0.0
40,Hard,Rihanna,723,2,0.2766251728907331
41,Loca,Shakira,368,0,0.0
42,You Lost Me,Christina Aguilera,187,0,0.0
43,Not Myself Tonight,Christina Aguilera,307,2,0.6514657980456027
44,Written in the Stars (feat. Eric Turner),Tinie Tempah,457,1,0.2188183807439825
45,DJ Got Us Fallin' In Love (feat. Pitbull),Usher,513,0,0.0
46,Castle Walls (feat. Christina Aguilera),T.I.,322,3,0.9316770186335404
47,Break Your Heart,Taio Cruz,342,0,0.0
48,Hello,Martin Solveig,339,0,0.0
49,A Thousand Years,Christina Perri,221,0,0.0
50,Someone Like You,Adele,340,0,0.0
51,Give Me Everything,Pitbull,617,3,0.48622366288492713
52,Just the Way You Are,Bruno Mars,324,1,0.30864197530864196
