,title,artist,year,top genre,pop
476,"How Far I'll Go - From ""Moana""",Alessia Cara,2017,canadian contemporary r&b,71
477,Bodak Yellow,Cardi B,2017,pop,70
478,Rich Love (with Seeb),OneRepublic,2017,dance pop,70
479,Tired,Alan Walker,2017,electro house,70
480,Came Here for Love,Sigala,2017,dance pop,70
481,24K Magic,Bruno Mars,2017,pop,69
482,Strip That Down (feat. Quavo),Liam Payne,2017,dance pop,69
483,Cut To The Feeling,Carly Rae Jepsen,2017,canadian pop,69
484,OK - Spotify Version,Robin Schulz,2017,dance pop,69
485,Bon appétit,Katy Perry,2017,dance pop,68
486,Summer Bummer (feat. A$AP Rocky & Playboi Carti),Lana Del Rey,2017,art pop,67
487,Get Low (with Liam Payne),Zedd,2017,complextro,66
488,Kissing Strangers,DNCE,2017,dance pop,66
489,Slow Hands,Niall Horan,2017,dance pop,64
490,Younger Now,Miley Cyrus,2017,dance pop,62
491,Body Moves,DNCE,2017,dance pop,62
492,Reality (feat. Janieck Devy) - Radio Edit,Lost Frequencies,2017,belgian edm,59
493,Angel,Fifth Harmony,2017,dance pop,59
494,Touch (feat. Kid Ink),Little Mix,2017,dance pop,59
495,We Don't Talk Anymore - DROELOE Remix,Charlie Puth,2017,dance pop,59
496,Love Incredible (feat. Camila Cabello),Cashmere Cat,2017,downtempo,59
497,No Vacancy (with Sebastián Yatra),OneRepublic,2017,dance pop,57
498,Rich Boy,Galantis,2017,big room,55
499,Lust for Life (with The Weeknd),Lana Del Rey,2017,art pop,54
500,Greenlight (feat. Flo Rida & LunchMoney Lewis),Pitbull,2017,dance pop,54
501,Influence,Tove Lo,2017,dance pop,54
502,Remember I Told You,Nick Jonas,2017,dance pop,53
503,Messin' Around,Pitbull,2017,dance pop,51
504,Water Under the Bridge,Adele,2017,british soul,49
505,Free Me,Sia,2017,australian dance,44
506,Kissing Strangers - Remix,DNCE,2017,dance pop,43
507,A L I E N S,Coldplay,2017,permanent wave,41
508,One Kiss (with Dua Lipa),Calvin Harris,2018,dance pop,86
509,Havana (feat. Young Thug),Camila Cabello,2018,dance pop,85
510,I Like It,Cardi B,2018,pop,85
511,New Rules,Dua Lipa,2018,dance pop,84
512,There's Nothing Holdin' Me Back,Shawn Mendes,2018,canadian pop,84
513,no tears left to cry,Ariana Grande,2018,dance pop,84
514,IDGAF,Dua Lipa,2018,dance pop,84
515,In My Blood,Shawn Mendes,2018,canadian pop,83
516,Wolves,Selena Gomez,2018,dance pop,83
517,Dusk Till Dawn - Radio Edit,ZAYN,2018,dance pop,83
518,Attention,Charlie Puth,2018,dance pop,83
519,Electricity (with Dua Lipa),Silk City,2018,edm,82
520,Love On The Brain,Rihanna,2018,barbadian pop,82
521,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,2018,dance pop,82
522,Silence,Marshmello,2018,brostep,82
523,Sorry Not Sorry,Demi Lovato,2018,dance pop,81
524,Shallow - Radio Edit,Lady Gaga,2018,dance pop,80
525,These Days,Rudimental,2018,dance pop,80
526,What Lovers Do (feat. SZA),Maroon 5,2018,pop,79
527,Finesse - Remix; feat. Cardi B,Bruno Mars,2018,pop,78
528,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,2018,pop,78
529,Bad At Love,Halsey,2018,dance pop,78
530,Him & I (with Halsey),G-Eazy,2018,hip hop,78
531,Friends (with BloodPop®),Justin Bieber,2018,canadian pop,77
532,Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,2018,dance pop,76
533,My My My!,Troye Sivan,2018,dance pop,76
534,Capital Letters,Hailee Steinfeld,2018,dance pop,76
535,Sick Boy,The Chainsmokers,2018,electropop,76
536,Tequila,Dan + Shay,2018,contemporary country,76
537,Look What You Made Me Do,Taylor Swift,2018,pop,75
538,Youth (feat. Khalid),Shawn Mendes,2018,canadian pop,75
539,Bad Liar,Selena Gomez,2018,dance pop,75
540,Anywhere,Rita Ora,2018,dance pop,74
541,Say Something,Justin Timberlake,2018,dance pop,74
542,Chun-Li,Nicki Minaj,2018,dance pop,73
543,Sign of the Times,Harry Styles,2018,dance pop,72
544,Familiar,Liam Payne,2018,dance pop,72
545,Let Me,ZAYN,2018,dance pop,72
546,Supernova,Ansel Elgort,2018,dance pop,72
547,Nervous,Shawn Mendes,2018,canadian pop,71
548,First Time,Kygo,2018,edm,71
549,End Game,Taylor Swift,2018,pop,70
550,Mi Gente (feat. Beyoncé),J Balvin,2018,latin,68
551,Lemon,N.E.R.D,2018,hip hop,68
552,For You (With Rita Ora),Liam Payne,2018,dance pop,67
553,Want To,Dua Lipa,2018,dance pop,67
554,What I Need (feat. Kehlani),Hayley Kiyoko,2018,dance pop,67
555,Wait,Maroon 5,2018,pop,67
556,What About Us,P!nk,2018,dance pop,66
557,Kissing Strangers,DNCE,2018,dance pop,66
558,2U (feat. Justin Bieber),David Guetta,2018,dance pop,65
559,Walk On Water (feat. Beyoncé),Eminem,2018,detroit hip hop,65
560,This Town,Niall Horan,2018,dance pop,64
561,"Girls (feat. Cardi B, Bebe Rexha & Charli XCX)",Rita Ora,2018,dance pop,64
562,MOVE TO MIAMI,Enrique Iglesias,2018,dance pop,64
563,Miss You (with Major Lazer & Tory Lanez),Cashmere Cat,2018,downtempo,64
564,Filthy,Justin Timberlake,2018,dance pop,62
565,Never Be the Same - Radio Edit,Camila Cabello,2018,dance pop,57
566,Ferrari,Bebe Rexha,2018,dance pop,57
567,Supplies,Justin Timberlake,2018,dance pop,57
568,Boom Boom,RedOne,2018,moroccan pop,53
569,...Ready For It? - BloodPop® Remix,Taylor Swift,2018,pop,52
570,Drip (feat. Migos),Cardi B,2018,pop,45
571,Tell Me You Love Me - NOTD Remix,Demi Lovato,2018,dance pop,44
572,Memories,Maroon 5,2019,pop,99
573,Lose You To Love Me,Selena Gomez,2019,dance pop,97
574,Someone You Loved,Lewis Capaldi,2019,pop,96
575,Señorita,Shawn Mendes,2019,canadian pop,95
576,How Do You Sleep?,Sam Smith,2019,pop,93
577,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,2019,pop,92
578,Trampoline (with ZAYN),SHAED,2019,electropop,92
579,Happier,Marshmello,2019,brostep,90
580,Truth Hurts,Lizzo,2019,escape room,90
581,Good as Hell (feat. Ariana Grande) - Remix,Lizzo,2019,escape room,90
582,Higher Love,Kygo,2019,edm,88
583,Only Human,Jonas Brothers,2019,boy band,87
584,Beautiful People (feat. Khalid),Ed Sheeran,2019,pop,86
585,Sucker,Jonas Brothers,2019,boy band,86
586,Don't Call Me Up,Mabel,2019,dance pop,86
587,I Don't Care (with Justin Bieber),Ed Sheeran,2019,pop,85
588,Talk (feat. Disclosure),Khalid,2019,alternative r&b,84
589,Giant (with Rag'n'Bone Man),Calvin Harris,2019,dance pop,84
590,Takeaway,The Chainsmokers,2019,electropop,83
591,All Around The World (La La La),R3HAB,2019,big room,82
592,Girls Like You (feat. Cardi B),Maroon 5,2019,pop,81
593,Call You Mine,The Chainsmokers,2019,electropop,81
594,No Guidance (feat. Drake),Chris Brown,2019,dance pop,81
595,Antisocial (with Travis Scott),Ed Sheeran,2019,pop,78
596,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,2019,electronic trap,77
597,Con Calma - Remix,Daddy Yankee,2019,latin,76
598,Find U Again (feat. Camila Cabello),Mark Ronson,2019,dance pop,75
599,Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,2019,pop,75
600,"No Brainer (feat. Justin Bieber, Chance the Rapper & Quavo)",DJ Khaled,2019,dance pop,70
601,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,2019,dance pop,69
602,Kills You Slowly,The Chainsmokers,2019,electropop,67
